First Name,Last Name,SID,Email,Sections,PS1,PS1 - Max Points,PS1 - Submission Time,PS1 - Lateness (H:M:S),PS2,PS2 - Max Points,PS2 - Submission Time,PS2 - Lateness (H:M:S),PS3,PS3 - Max Points,PS3 - Submission Time,PS3 - Lateness (H:M:S),PS4,PS4 - Max Points,PS4 - Submission Time,PS4 - Lateness (H:M:S),Bonus PS1,Bonus PS1 - Max Points,Bonus PS1 - Submission Time,Bonus PS1 - Lateness (H:M:S),Bonus PS2,Bonus PS2 - Max Points,Bonus PS2 - Submission Time,Bonus PS2 - Lateness (H:M:S),Final Exam,Final Exam - Max Points,Final Exam - Submission Time,Final Exam - Lateness (H:M:S),Total Lateness (H:M:S)
Keenan,Alexander,1211549,kalexander@example.com,Ph 002C-03,19,20,,72:25:11,26,30,,43:09:20,8,10,,00:00:00,20,20,,27:13:36,16,20,,00:00:00,12,15,,00:00:00,7,10,,00:00:00,
Kendra,Brewer,1672110,kbrewer@example.com,Ph 002C-02,17,20,,00:00:00,28,30,,134:26:45,9,10,,00:00:00,18,20,,88:17:32,15,20,,00:00:00,15,15,,154:56:15,9,10,,93:09:25,
Macie,Garza,1401745,mgarza@example.com,Ph 002C-01,18,20,,149:46:57,24,30,,152:55:31,8,10,,00:00:00,14,20,,00:00:00,19,20,,119:25:57,13,15,,00:00:00,9,10,,00:00:00,
Sullivan,Reynolds,1464738,sreynolds@example.com,Ph 002C-03,19,20,,00:00:00,26,30,,32:25:29,9,10,,00:00:00,19,20,,00:00:00,18,20,,00:00:00,14,15,,00:00:00,8,10,,147:08:51,
Bella,Warren,1404900,bwarren@example.com,Ph 002C-02,14,20,,143:18:33,30,30,,15:59:54,8,10,,00:00:00,15,20,,98:08:00,18,20,,37:15:31,12,15,,00:00:00,9,10,,00:00:00,
Braelynn,Wagner,1577334,bwagner@example.com,Ph 002C-01,19,20,,40:38:29,28,30,,00:00:00,8,10,,157:14:43,16,20,,00:00:00,19,20,,00:00:00,12,15,,00:00:00,9,10,,121:41:11,
Wesley,Farmer,1230801,wfarmer@example.com,Ph 002C-01,19,20,,00:00:00,30,30,,137:42:15,6,10,,00:00:00,16,20,,164:17:14,14,20,,150:38:06,9,15,,81:40:58,9,10,,36:52:51,
Luka,Velasquez,1138247,lvelasquez@example.com,Ph 002C-01,15,20,,00:00:00,22,30,,00:00:00,9,10,,84:11:53,18,20,,117:39:30,16,20,,58:35:23,12,15,,00:00:00,8,10,,00:00:00,
Mina,Robbins,1302982,mrobbins@example.com,Ph 002C-01,16,20,,86:12:25,23,30,,00:00:00,8,10,,25:45:17,15,20,,108:10:25,16,20,,81:35:02,15,15,,141:28:22,8,10,,67:53:51,
Judah,Branch,1184360,jbranch@example.com,Ph 002C-02,17,20,,115:04:58,28,30,,03:03:39,8,10,,35:44:19,20,20,,00:00:00,19,20,,00:00:00,15,15,,161:17:20,8,10,,101:18:55,
Thea,Guevara,1089702,tguevara@example.com,Ph 002C-01,12,20,,119:27:37,20,30,,21:49:58,8,10,,00:56:40,17,20,,00:00:00,17,20,,00:00:00,11,15,,14:01:50,8,10,,66:11:24,
Madden,Silva,1291259,msilva@example.com,Ph 002C-02,17,20,,00:00:00,26,30,,77:18:43,10,10,,00:00:00,15,20,,89:48:34,17,20,,68:21:32,11,15,,00:07:16,8,10,,137:48:57,
Raina,Ross,1103311,rross@example.com,Ph 002C-01,17,20,,00:00:00,25,30,,00:00:00,8,10,,119:00:06,15,20,,34:30:23,19,20,,00:00:00,13,15,,55:23:33,8,10,,165:14:30,
